Name,BlockId,Col,Row,Name1,Name2,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Drug,DrugNum,Average,Dist,Inflection,Neighbor,MedianEffect,count,min,max,Experiment
Vincristine sulfate_2,8,10,9,Tazemetostat_1,Vincristine sulfate_2,0,0.003906,NA,1,0.805128146361481,0.194871853638519,0.805128146361481,0.242038307217528,0.003906,2,0.805128146361481,0.305128146361481,3,1,TRUE,5,0.003906,0.03125,EOL1_ASSAY_ID_10946
Vincristine sulfate_2,8,10,8,Tazemetostat_1,Vincristine sulfate_2,0,0.007812,NA,1,0.617713054116151,0.382286945883849,0.617713054116151,0.618874643066821,0.007812,2,0.617713054116151,0.117713054116151,3,0,TRUE,5,0.003906,0.03125,EOL1_ASSAY_ID_10946
Vincristine sulfate_2,8,10,7,Tazemetostat_1,Vincristine sulfate_2,0,0.015625,NA,1,0.0967747219320075,0.903225278067993,0.0967747219320075,9.33327691401258,0.015625,2,0.0967747219320075,0.403225278067993,3,-1,TRUE,5,0.003906,0.03125,EOL1_ASSAY_ID_10946
Vincristine sulfate_2,8,10,6,Tazemetostat_1,Vincristine sulfate_2,0,0.03125,NA,1,0.0360789291527156,0.963921070847284,0.0360789291527156,26.7170088881291,0.03125,2,0.0360789291527156,0.463921070847284,3,-2,TRUE,5,0.003906,0.03125,EOL1_ASSAY_ID_10946
Tazemetostat_1,9,10,10,Tazemetostat_1,Topotecan hydrochloride_2,0,0,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,0.625,1,0.9999,0.4999,10,9,NA,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,9,5,10,Tazemetostat_1,Topotecan hydrochloride_2,1.25,0,NA,1,0.834990745488708,0.165009254511292,0.834990745488708,0.197618063916043,1.25,1,0.834990745488708,0.334990745488708,10,4,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,9,4,10,Tazemetostat_1,Topotecan hydrochloride_2,2.5,0,NA,1,0.827018341061602,0.172981658938398,0.827018341061602,0.209163026198851,2.5,1,0.827018341061602,0.327018341061602,10,3,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,9,3,10,Tazemetostat_1,Topotecan hydrochloride_2,5,0,NA,1,0.666191394485755,0.333808605514245,0.666191394485755,0.501070125308235,5,1,0.666191394485755,0.166191394485755,10,2,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,9,2,10,Tazemetostat_1,Topotecan hydrochloride_2,10,0,NA,1,0.704267319039166,0.295732680960834,0.704267319039166,0.419915382932014,10,1,0.704267319039166,0.204267319039166,10,1,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
Tazemetostat_1,9,1,10,Tazemetostat_1,Topotecan hydrochloride_2,20,0,NA,1,0.660388591373755,0.339611408626245,0.660388591373755,0.514259957034959,20,1,0.660388591373755,0.160388591373755,10,0,TRUE,5,1.25,20,EOL1_ASSAY_ID_10946
