Name1,Name2,BlockId,Col,Row,Drug1,Drug2,sd,Replicate,Value,Fa,Fu,FaFu,Name,Drug,DrugNum,min1,max1,min2,max2,Experiment
Tazemetostat_1,Topotecan hydrochloride_2,9,4,10,2.5,0.003906,NA,1,0.827018341061602,0.172981658938398,0.827018341061602,0.209163026198851,Tazemetostat_1,2.5,1,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,3,10,5,0.003906,NA,1,0.666191394485755,0.333808605514245,0.666191394485755,0.501070125308235,Tazemetostat_1,5,1,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,2,10,10,0.003906,NA,1,0.704267319039166,0.295732680960834,0.704267319039166,0.419915382932014,Tazemetostat_1,10,1,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,1,10,20,0.003906,NA,1,0.660388591373755,0.339611408626245,0.660388591373755,0.514259957034959,Tazemetostat_1,20,1,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,10,0.625,0.003906,NA,1,0.9999,9.9999999999989e-05,0.9999,0.000100010001000089,Topotecan hydrochloride_2,0,2,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,9,0.625,0.007812,NA,1,0.83109929729913,0.16890070270087,0.83109929729913,0.20322565937639,Topotecan hydrochloride_2,0.007812,2,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,8,0.625,0.015625,NA,1,0.742707309909516,0.257292690090484,0.742707309909516,0.346425417735326,Topotecan hydrochloride_2,0.015625,2,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,7,0.625,0.03125,NA,1,0.377750314155986,0.622249685844014,0.377750314155986,1.64725127293227,Topotecan hydrochloride_2,0.03125,2,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,6,0.625,0.0625,NA,1,0.0845150136318962,0.915484986368104,0.0845150136318962,10.832217224214,Topotecan hydrochloride_2,0.0625,2,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
Tazemetostat_1,Topotecan hydrochloride_2,9,10,5,0.625,0.125,NA,1,0.0220217115226331,0.977978288477367,0.0220217115226331,44.4097311633674,Topotecan hydrochloride_2,0.125,2,1.25,20,0.007812,0.125,EOL1_ASSAY_ID_10946
